season,week,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,passing_bad_throw_pct,times_pressured_pct,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,coach_pass_oe,coach_td_prob,coach_punt_attempt,coach_first_down,coach_penalty_yards,coach_3d_pct,ffpts,target
2018,1,0.7745645299290015,3.272259478200015,3.6488018146487744,-2.2277277579894412,9.343604287354813,4.489090241002223,-0.2576561861787729,11.829053675896313,84.93569347944411,1,4,56.484957426229066,13.49940440987131,191.07747821208204,857.51586285625,-9.401033787072166,2.744224833123213,180.9345445122992,0.1009640694279272,0.2234023157690701,0,242.0892650215017,1.0,12.563498566559518,-19.607573254739894,15.15090176043225,0.0,2.0,-3.543135325574205,7.965791385686071,-15.161349897669956,2.8903717578961645,0.0,0.0,0.1095961214533074,0.5373727827699409,0.7564614592042957,1,0,0,217.23119592666623,-0.488372440222839,7.469596123907541,53.87866558059029,156.38920588605401,-0.5546719353727148,6.614070730445589,25.880000000000003
2018,1,0.8851183400273236,4.262444970743502,4.321342544996697,-2.0919805585273212,5.686590789022097,4.84125024640171,-0.6739468757177197,9.683412555126962,87.57640896366779,3,2,113.12208724075037,10.172978844209883,186.08996215650845,799.2785698201895,-7.865217983762279,2.845487804190927,153.26889284365083,0.17083532617237623,0.27597110936897484,0,240.54714061750872,3.0,8.621233475943658,4.214700612396105,21.2819752391487,0.0,1.0,-8.39477430535557,5.882759680497052,4.175708313384676,2.833213344056216,0.0,0.0,1.0100560547794164,0.5373247494340725,0.7564614592042957,1,0,0,-126.76522445678712,-0.5014731501456047,12.947913029412398,44.41769295430021,119.10833728635117,-0.5882884689530481,8.992229532835562,17.04
2018,1,0.7952408959116737,3.6205026787284336,4.081392177936071,-2.5744657884939657,13.39551839840503,4.706477327371806,0.8787985718706378,10.717284445224644,94.2709869309543,3,3,102.2394794454592,12.697304103313956,215.6441237987083,741.8186601140765,1.2150617905634848,2.7714234568510436,125.09001692653902,0.11178579042774442,0.1953505397206903,0,264.39915509564474,3.0,12.563498566559518,-3.734089703300171,37.06818245744146,0.0,8.0,-4.201268128533155,7.965791385686071,-3.7673371913407574,2.4849066497880004,0.0,0.0,0.0,0.537371074978193,0.7564614592042957,0,0,0,-25.5812193552653,-0.48427671187087157,10.063578830630433,49.39394487046659,112.02763322741953,-0.6335097615895915,9.307113347641591,8.88
2018,1,0.7668028445564532,3.395626986487405,4.290135942204716,-3.283755667078265,6.941720701530242,4.262347628019108,1.2143212259067677,12.572946590711725,109.8983149124665,3,1,127.25915212858497,16.185732067168033,227.56752379226683,763.9881500810268,2.730288812978055,2.79815446176413,173.65745533529494,0.13755896439148962,0.18357422357048622,0,321.48565846953545,3.0,16.56844937770753,16.931355342189423,33.05998446382926,0.0,7.0,1.6229869835648665,9.967466549818743,16.625447483304086,2.4849066497880004,0.0,0.0,0.0,0.5376432359271072,0.7564614592042957,1,0,0,130.82002766927084,-0.49923806343813704,8.471469519490075,64.56582177727793,100.01381843890806,-0.6443668284805152,10.232918215358172,22.24
2018,1,0.8152087014880517,4.217339086898774,4.078680090551181,-1.6337761610450177,9.82951451692846,4.5496245851502675,-0.777319723072796,11.363539165037295,77.05762840148387,0,1,68.30714229779444,11.036377781978333,148.42933708283888,585.607929149596,-5.876569510627344,2.826603307096044,186.2837139831322,0.19462526064587587,0.20437067203068635,0,204.16410886118928,0.0,7.814866079171358,-11.16021838306785,23.486277940795386,1.0,4.0,-2.7314315093075585,5.430388860130173,-11.337808687172199,2.995732273553991,0.0,1.0,0.9178677718422005,0.5375096091717402,0.7564614592042957,1,0,0,42.13108253479004,-0.4968834967483502,11.760164098548335,58.481105516245066,116.34585712334707,-0.6574749894026983,4.7899271801584336,18.880000000000003
2018,1,0.8476181162903322,4.715620448693492,5.082071702927386,-3.037515312190927,4.842933233576423,4.520690397610887,3.4087006491397336,8.55230734310005,78.2001855192873,4,0,158.11816552505258,8.364418722883418,177.18306007676043,648.9957526876889,-2.6236628245059492,2.8693709129486393,172.37546911759563,0.16296904025888218,0.2658525511535207,0,208.04843555793596,4.0,8.621233475943658,13.41553290853739,29.924528579366996,0.0,7.0,-1.2741385155245946,5.882759680497052,13.195175653962705,3.4965075614664802,0.0,2.0,2.3901549083295,0.5367161902040505,0.7564614592042957,1,0,0,126.4694595336914,-0.5014731501456047,10.063578830630433,46.88557971826628,75.27422458612797,-0.6372313947481565,9.575989553026021,37.04
2018,1,0.7764610005862725,5.417881254531244,4.757392395361461,0.5541138122905931,8.051715109168612,4.773778460432461,3.663361901958953,8.748819505877234,109.8983149124665,4,0,179.50105894230103,11.036377781978333,267.47113313867624,750.4803854139092,12.086330047116098,2.9122300279604976,133.4461779922003,0.09543736144525633,0.10428555289576286,0,321.48565846953545,4.0,14.106673627022108,23.87616989483349,31.050126780052036,1.0,5.0,-3.4555928997728516,8.734838974542681,23.300220165555917,3.871201010907891,1.0,3.0,1.2877673451953362,0.5376096539466643,0.7564614592042957,1,1,1,140.52234331766763,-0.49459648055818417,10.063578830630433,63.197713323138274,128.6628897823371,-0.6179069066097846,10.718421135581213,32.08
2018,1,0.7416877873249567,2.3769946302868976,2.4849289461614648,-1.3775952594764567,8.355565348194068,4.404016261524701,-5.020712291585261,10.881787056000553,88.66829789402317,0,3,75.0780955182111,14.28499621928915,255.3196353347048,868.8521788638068,3.6487439270094955,2.682880600153885,99.7432887577058,0.09623171227132903,0.1726901596428358,0,75.93548690942627,0.0,3.440625950437733,0.0,11.093287794562912,0.0,0.0,0.0,6.321442766930793,-12.227732792874813,2.5649493574615367,0.0,0.0,-1.5437116685367234,0.5371645467557663,0.7564614592042957,1,0,0,0.0,-0.5014731501456047,3.3069358477655015,36.35616885011696,37.51333675349543,-0.6574749894026983,5.53305934227529,15.52
2018,1,0.8972816893870054,3.900217064997335,4.254340970221141,-2.515367450070713,9.661272812603045,4.222176447454229,1.6461578721878296,9.683412555126962,72.89287921675783,2,0,118.80287058255526,9.731783146191905,172.77380318090752,767.3333969906172,-9.299388801543323,2.846124463218274,189.14195859431754,0.17534343176913306,0.10428555289576286,0,190.15088709794279,2.0,11.00251462864673,5.663870283603326,36.04553019773616,0.0,8.0,2.5328821558783767,7.163508843283155,5.602143253903824,2.3978952727983707,0.0,0.0,0.0,0.5368291218471499,0.7564614592042957,1,0,0,-42.53271230061849,-0.5014731501456047,13.558515814585801,40.19879696803021,158.66858922869255,-0.6481462061685814,7.181875362570401,18.16
2018,1,0.7037159410032952,3.8182007152579462,4.081968935575798,-2.2854158002424825,12.252491517230148,5.048859264085164,0.7763970936756686,8.748819505877234,72.19054758374477,2,2,109.45477000714428,10.607706536114279,250.1585240302598,759.682838816993,7.877702770181844,2.8073586287326755,169.41309877437243,0.1487677965437315,0.06408033294829335,0,187.8106678005021,2.0,7.814866079171358,2.2530365404216393,32.51836950063132,0.0,7.0,-3.69487028380369,5.430388860130173,2.23892895771646,2.772588722239781,0.0,0.0,-1.0022494237616237,0.5373454070752172,0.7564614592042957,1,0,0,91.62484741210938,-0.5004137834508195,8.471469519490075,45.030825561118185,121.08833659458305,-0.6574749894026983,7.146447686725757,14.72
