season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,coach_pass_oe,coach_td_prob,coach_punt_attempt,coach_first_down,coach_penalty_yards,coach_3d_pct,ffpts,target
2018,1,1.5407574921291942,11.272243472692303,0.8965334496966111,1.2866682683801427,4.564348191467836,1.3062516534463544,1,5.759115196467913,4.20023990433339,1.6377959491311667,0.38933380801619855,1.2866682683801427,1.252762968495368,1.252762968495368,0,214.69565913681865,2.0,11.095811310607942,13.922063661659644,48.719009976030044,1.0,10.0,2.615910352777975,4.0,0.7132409504618086,3.439867875189452,0.765999120464607,1,1,1,-52.4775021870931,-0.45037939506720115,13.736053428622006,97.6496922340719,177.6893949082653,-0.5819219489639834,2.747270914255491,2.0
2018,1,1.7918011350266903,3.2572027485685147,0.7960486784139501,1.2270265094578627,3.6888794541139363,0.9162907318741551,0,5.188314360986879,3.5853548712123917,1.255171318233326,0.24563163892215759,1.2270265094578627,1.0296194171811581,1.0986122886681098,1,205.76894980578342,2.0,12.676707818056391,0.20159166321883135,35.60809847606067,0.0,3.0,-11.949026601216957,1.0,-8.236788510446255,3.1390964158618613,0.765999120464607,1,0,0,65.26753616333008,-0.45290812428714605,10.580416850634721,84.9313821805795,95.21882465537178,-0.5602004816880012,1.3862943611198906,3.8
2018,1,1.1685735799740702,8.492387760027455,0.8426483463002539,1.146500235096344,3.912023005428146,1.6094379124341003,0,4.840163747747349,4.053193974402461,1.604768907778031,0.29381065557294467,1.146500235096344,1.7227665977411035,0.9932517730102834,1,137.86307743629442,0.0,7.870940953112832,-0.6666464771516543,42.00202034284144,2.0,9.0,-4.95868976801475,2.0,-4.5366540927521015,3.1026116351810873,0.765999120464607,1,0,0,-191.9253489176432,-0.45290812428714605,13.736053428622006,78.8413625063451,150.6407004507037,-0.5895466838377539,1.6094379124341003,18.4
2018,1,1.183371809638818,0.0,0.8694134376093493,1.2174680761571888,4.406719247264253,1.698669046162043,0,5.631443051803258,4.0913514943808655,1.6126649298430402,0.38933380801619855,1.2174680761571888,1.4350845252893225,1.5040773967762742,1,146.10366485659785,0.0,7.0485232032949625,-4.878637686816724,40.397263847742934,1.0,7.0,2.447817396632819,3.0,0.8572071296357265,3.1718680712608593,0.765999120464607,1,0,0,77.45105218887329,-0.44336824852998696,7.9396932903544455,104.27322349241389,177.6893949082653,-0.5181342564126986,2.1041341542702074,3.5
2018,1,2.0212249565683584,9.973803072438832,0.8019666400841895,1.146500235096344,3.258096538021482,0.9555114450274363,0,4.340340997398001,3.7975602699324797,1.272600869483536,0.11383254785917285,1.146500235096344,1.3083328196501787,0.7884573603642703,0,186.23880952146,0.0,11.095811310607942,-18.369520026635612,35.60809847606067,1.0,4.0,-0.1442272174681785,0.0,-3.1001027009559197,3.205952679577711,0.765999120464607,1,0,0,60.61090215047201,-0.4522772142350875,8.44438507762443,84.9313821805795,130.58241198509003,-0.5482243897472049,0.9555114450274363,5.6000000000000005
2018,1,1.3214383292636653,9.46012264892191,0.8155434658297956,1.1650280223278484,3.7376696182833684,1.3397743454849975,0,4.6238504854323415,4.019529449551302,1.5630714582738652,0.5264463718591764,1.1650280223278484,1.5686159179138452,0.8329091229351039,0,205.76894980578342,2.0,12.676707818056391,0.20159166321883135,35.60809847606067,0.0,3.0,-11.949026601216957,1.0,-2.7013357096982293,3.354839257684006,0.765999120464607,1,0,0,65.26753616333008,-0.45290812428714605,10.580416850634721,84.9313821805795,95.21882465537178,-0.5602004816880012,1.4350845252893227,4.2
2018,1,1.7143608323608792,9.365626094172969,0.9116742554353345,1.2067630803592935,3.871201010907891,1.2321436812926323,0,4.784734229470692,3.854711623552026,1.4117830186482012,0.3747076224789076,1.2067630803592935,1.3609765531356006,1.0647107369924282,1,194.38564374989494,2.0,7.870940953112832,2.2460279934062988,36.4614631412702,0.0,7.0,-3.6675785061380126,3.0,-3.2157808595170754,3.203518502547159,0.765999120464607,1,0,0,91.62484741210938,-0.4521892060441713,8.44438507762443,75.27493550614835,134.63973504306207,-0.6501892697310276,1.5686159179138455,11.3
2018,1,1.5417856054035934,6.358864448686728,0.7997584080525524,1.1650280223278484,3.713572066704308,1.3156767939059373,1,5.175716355163795,3.62495319096812,1.1388851139238652,0.2675669966458483,1.1650280223278484,1.1314021114911004,1.3609765531356006,0,73.23891166932887,0.0,3.284676790846677,0.0,14.251358736626912,0.0,0.0,0.0,4.0,0.8741673645483611,3.439867875189452,0.765999120464607,1,0,0,0.0,-0.45290812428714605,3.2025415537339885,58.356338412550315,39.95937209382305,-0.6501892697310276,2.312535423847214,12.5
2018,1,1.3930894042527193,12.611094153047196,0.7841652803365212,1.194676281821904,3.784189633918261,1.2192402764567245,1,4.410285546943593,4.142983607330278,1.6708647755810204,0.5199009834487256,1.194676281821904,1.1314021114911004,1.2809338454620642,0,218.74842369680854,3.0,11.095811310607942,8.368975189679984,35.82231221913404,3.0,11.0,-3.8399815543462292,3.0,-1.296447754724859,3.2040464106221993,0.765999120464607,1,0,0,-63.50570297241211,-0.44789384504470503,13.736053428622006,109.69691426831172,177.6893949082653,-0.5657437759389201,2.341805806147327,4.800000000000001
2018,1,1.3652409519220583,5.27844597676803,0.9560296744922565,1.2174680761571888,4.23410650459726,1.5260563034950492,1,5.48494567296481,3.976769602348506,1.5226616305044671,0.1971572568798782,1.2174680761571888,1.6486586255873816,0.9932517730102834,1,145.28043897951005,0.0,8.68623363354093,-8.643265415544278,30.732094497280634,1.0,4.0,0.20319247740295876,3.0,0.18561455425312423,3.141346622358963,0.765999120464607,1,0,0,89.72963333129883,-0.4505151383507642,13.736053428622006,92.47710305814897,177.6893949082653,-0.5612981685799703,2.5572273113676265,13.8
