,season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,ffpts,temp_week,ffpts_target
37,2018,2,2.427540983606557,50.0,2.3529,10,61,6.1,0,46.73559716640242,14.26440283359758,1.4264402833597578,0.5,10.0,3.9,2.2,0.38,179.0,2.0,10.0,0.7386547,104.0,1.0,5.0,0.8573108,2.0,1.9101114,6.1000000000000005,,
39,2018,2,3.001379310344828,20.0,2.624222222222222,10,58,5.8,0,30.20242874495456,27.797571255045444,2.779757125504545,0.6,10.0,3.4,2.4,0.58,376.0,4.0,22.0,19.470377,104.0,0.0,5.0,-1.4851034,2.0,-0.27549693,5.800000000000001,,
40,2018,2,4.000943396226416,0.0,2.5291111111111118,11,53,4.818181818181818,1,48.80822517893279,4.191774821067213,0.3810704382788375,0.3636363636363636,11.0,0.9,3.9,0.6,168.0,2.0,9.0,-5.6374125,135.0,1.0,6.0,-5.4658647,3.0,1.4296526,11.3,,
46,2018,2,5.188307692307693,44.44444444444444,2.9086470588235294,18,65,3.611111111111111,1,60.28428487518114,-6.284284875181143,-0.369663816187126,0.5294117647058824,18.0,-0.4,4.0,0.65,,,,,,,,,3.0,-1.0922759,12.5,2.0,12.4
47,2018,2,4.657631578947369,20.0,2.8088,10,38,3.8,0,31.014118135298805,6.985881864701195,0.6985881864701196,0.6,10.0,2.4,1.4,0.68,425.0,4.0,20.0,14.962537,68.0,0.0,3.0,-2.581552,1.0,-0.9296368,3.8,,
48,2018,2,9.026363636363635,31.25,2.5966153846153848,16,22,1.375,0,71.28541232018084,-53.28541232018084,-3.552360821345389,0.1333333333333333,16.0,0.4,1.0,0.62,402.0,4.0,17.0,19.270699,43.0,0.0,1.0,-7.5159564,0.0,-8.479705,2.2,,
56,2018,2,2.437570093457944,7.142857142857142,2.371166666666667,14,107,7.642857142857143,0,64.31454048194243,42.68545951805757,3.048961394146969,0.5714285714285714,14.0,5.6,2.0,0.42,222.0,0.0,9.0,-0.7741718,168.0,2.0,10.0,6.7105236,4.0,4.2950063,10.7,,
57,2018,2,5.765333333333334,0.0,2.813666666666667,10,30,3.0,0,43.61329387324878,-13.61329387324878,-1.361329387324878,0.3,10.0,2.0,1.0,0.3,226.0,2.0,10.0,-11.323742,74.0,0.0,6.0,-1.8097643,2.0,-1.8058072,3.0,,
58,2018,2,4.577619047619048,28.57142857142857,2.4005,14,42,3.0,0,41.2418583346106,0.7581416653894024,0.054152976099243,0.5,14.0,0.6,2.4,0.58,191.0,2.0,7.0,7.565305,100.0,0.0,7.0,-5.61053,1.0,-4.8089986,4.2,,
59,2018,2,3.2015584415584413,27.27272727272727,3.117272727272728,11,77,7.0,0,85.76892340930772,-8.768923409307718,-0.7971748553916107,0.2727272727272727,11.0,1.3,5.7,0.41,256.0,3.0,16.0,17.62978,109.0,1.0,5.0,-7.122743,4.0,2.060551,7.7,,
