,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,receiving_drop_pct,receiving_rat,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,pass_oe,td_prob,home_wp,punt_attempt,first_down,penalty_yards,total_home_epa,total_home_rush_epa,total_home_pass_epa,3d_pct,ffpts,ffpts_target
13,2018,1,7.583333333333333,1.78743960619235,13.843333333333334,24.84668999970086,3,6,50.0,46.0,1,0.1533333333333336,1.0185846955531588,-0.8652513622198251,0.0,75.7,0.65,298.0,3.0,10.0,4.096391,64.0,0.0,1.0,-7.9063296,0.0,,119.0,34.464,1,119.0,,,,,,,,,,,,,6.1000000000000005,6.4
14,2018,1,7.562222222222221,1.8530254931734813,18.166666666666664,49.97401962282605,3,9,33.33333333333333,37.0,0,3.4633333333333347,2.976660309792872,0.486673023540463,0.111,47.0,0.97,233.0,2.0,13.0,5.476922,140.0,0.0,8.0,2.6140876,0.0,,41.0,26.418,1,41.0,,,,,,,,,,,,,5.2,11.1
15,2018,1,7.0680000000000005,3.5382260988898557,-0.2879999999999981,-0.4436639245771299,3,5,60.0,27.0,0,9.93333333333333,9.0959506886378,0.8373826446955306,0.0,74.6,0.67,417.0,4.0,17.0,29.170437,112.0,1.0,5.0,-3.3298376,0.0,,,25.21,1,,6.128333336114884,12.256666672229768,,,,,,,,,,,4.2,
16,2018,1,6.948125000000001,2.491579154766261,16.02315789473684,75.6429050612468,10,19,52.63157894736842,169.0,0,3.188,1.8606725144656624,1.3273274855343375,0.0,61.1,0.81,251.0,0.0,9.0,-11.715434,74.0,1.0,4.0,-2.6453645,0.0,,6.0,29.574,1,6.0,0.0,,,,,,,,,,,,21.9,8.9
17,2018,1,6.948,2.024963849983548,9.786,23.067131812181792,3,5,60.0,27.0,0,0.6766666666666646,0.8088387950363085,-0.1321721283696438,0.0,74.6,0.47,170.0,0.0,10.0,-8.96002,94.0,1.0,4.0,0.20383382,0.0,,,29.566,1,,,,,,,,,,,,,,4.2,5.300000000000001
18,2018,1,6.942,3.1816723224070533,9.038333333333336,26.565102380719114,3,6,50.0,19.0,0,1.423333333333332,2.592020369741904,-1.168687036408572,0.0,17.4,0.92,153.0,0.0,6.0,-13.88566,68.0,1.0,7.0,2.6908731,0.0,,,23.488,1,,,,-8.68349583943685,0.3391845375299454,0.4427858193715413,4.833333333333333,18.33333333333333,59.0,-5.809605995814006,-3.869306483616432,-2.420271635055542,0.3344750354687373,3.4000000000000004,3.7
19,2018,1,6.861666666666667,3.1281302328863334,5.688000000000001,19.707573972697663,7,10,70.0,60.0,0,2.487142857142856,2.341342272571897,0.1458005845709586,0.0,45.8,0.94,319.0,2.0,17.0,7.0785728,75.0,0.0,4.0,-4.5088406,0.0,,,28.348,1,,,,100.03829879760742,0.3255623817443848,0.584166270494461,4.2,22.8,73.2,-2.322151279449463,-0.2918682336807251,7.793157950043678,0.3403593450784683,9.5,3.0
20,2018,1,6.85,1.572225741719665,13.710000000000004,21.3060234972338,1,5,20.0,11.0,0,2.049999999999997,1.988999612482985,0.0610003875170122,0.0,39.6,0.91,277.0,3.0,16.0,8.182894,122.0,0.0,5.0,-3.7544026,0.0,,,30.877,1,,,,65.26808039347331,0.3225211600462596,0.5807410180568695,4.333333333333333,24.33333333333333,54.66666666666666,-0.1010866165161132,-0.0221189260482788,12.4068873723348,0.2528138607740402,1.6,5.7
21,2018,1,6.806666666666666,2.1897317105437364,9.948333333333332,16.46802405782707,3,6,50.0,26.0,0,0.0933333333333337,0.9696026128539756,-0.8762692795206419,0.0,61.8,0.94,98.0,0.0,5.0,-27.86417,83.0,0.0,3.0,-11.882841,0.0,,37.0,23.447,1,37.0,0.0,,,,,,,,,,,,4.1,
22,2018,1,6.786666666666666,1.957222229274013,9.14,18.578651828137303,4,8,50.0,37.0,1,3.0025000000000004,2.9319113127789933,0.070588687221007,0.25,102.6,0.88,300.0,1.0,15.0,-23.769878,39.0,0.0,2.0,-3.412269,0.0,,106.0,27.05,1,106.0,0.0,0.0,94.88770707448325,0.324886033932368,0.530863622824351,5.333333333333333,21.5,95.83333333333331,-5.150552908579509,1.771305799484253,-3.991445866723856,0.3891698444883029,5.7,
