season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,receiving_rat,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,coach_pass_oe,coach_td_prob,coach_punt_attempt,coach_first_down,coach_penalty_yards,coach_3d_pct,ffpts,target
2018,1,6.375558798162398,1.9988764535030523,1.926668196416136,4.402553419810737,3,5,119.73285660707825,3.4339872044851463,0,2.3210796756302097,2.2920925699880565,2.4290811053977044,72.96414941052127,1,140.97710321332445,1.0,10.85097067187495,-4.16853160838774,33.89215259305853,0.0,4.0,-1.4773081581483631,0.0,0.0,0.7093360126812518,0.6970359789038554,1,1,1,133.47041384379068,-0.5382749620132111,10.248368300375233,77.10889846845738,122.79491161555181,-0.6387551020145424,2.005060354916363,3.3
2018,1,6.342182944553709,2.182445141779171,3.881754784548894,10.269039949471964,3,5,119.73285660707825,3.4657359027997265,0,2.04941179522814,1.7118342854999102,2.586381633658956,73.76505164469809,1,191.43480193259379,2.0,9.300291158307374,2.7288959465819453,27.733151203560816,1.0,5.0,3.4469404325227013,0.0,0.0,0.7083674582884051,0.6970359789038554,1,0,0,-18.338862260182697,-0.5330648728912737,8.299564548636038,74.44285607888436,140.8454634570155,-0.5607933295487414,2.0354167245309602,12.1
2018,1,5.970148208689985,2.25991266373327,1.7050934526096126,2.701676728504742,5,5,223.85368514489167,3.4339872044851463,0,2.026040764952721,2.015773877003153,2.410081772905047,87.58094964928603,1,137.17484510685176,0.0,6.923810968109054,-4.87382991941868,34.21562910106544,1.0,7.0,2.458022440927463,0.0,0.0,0.7099534335246966,0.6970359789038554,0,0,0,77.45105218887329,-0.53191956558214,7.381797699508178,74.44285607888436,140.8454634570155,-0.5276791944427156,2.2906327632158083,5.0
2018,1,5.9127339124662575,1.5038500296146526,3.914761316208339,12.393302181600408,7,8,190.1105738578296,4.3694478524670215,0,2.033397603178429,1.8910500468328575,2.490812751730639,104.8015475793173,0,136.41369495734054,0.0,8.515517175000491,-8.631769728367242,26.447335602627067,1.0,4.0,0.20329989230073048,0.0,0.0,0.7105508531251779,0.6970359789038554,0,0,0,89.72963333129883,-0.5441220686815722,12.47384207594431,66.64305317214853,140.8454634570155,-0.5729108256247761,3.4784934463694475,6.1000000000000005
2018,1,5.908100979661447,0.9720050824768027,4.480063749483692,11.756839700013023,4,7,112.77346464757875,4.060443010546419,0,2.0970972581682514,1.4364229282767367,2.707668851790096,41.130455158187345,0,174.20830799870546,0.0,10.85097067187495,-18.335490767582577,30.383620945472885,1.0,4.0,-0.144172356662951,0.0,0.0,0.7117295432912661,0.6970359789038554,1,0,0,60.61090215047201,-0.5471926408563386,7.83586765170375,61.61212218090074,104.50779190218083,-0.5591782885084033,2.812997156195844,8.0
2018,1,5.834693355711935,1.9564079413784967,4.6258540477991135,9.533281424522768,7,7,223.85368514489167,4.276666119016055,1,1.8662925210906216,1.829873046961314,2.423793041226471,145.65316792232252,0,216.74474498936112,3.0,13.136882148735538,8.482077134127854,31.408215335384327,0.0,5.0,-3.856397314315823,0.0,0.0,0.7092245099535883,0.6970359789038554,1,0,0,89.27957820892334,-0.5442536350814786,9.255378881007715,80.71408669262678,77.96137497388217,-0.6545455073791188,3.3621618323018643,6.9
2018,1,5.681046771923205,1.426240959766192,3.649618374641552,15.288445327675703,4,6,136.25043179758234,3.332204510175204,0,1.7804457093277815,1.5295119229743062,2.5155960877507506,72.96414941052127,0,200.3878461036164,2.0,10.85097067187495,13.944507181962232,40.805486963911605,1.0,10.0,2.6273098860000794,0.0,0.0,0.7095222802399871,0.6970359789038554,1,1,1,-52.4775021870931,-0.5438865993013027,12.47384207594431,70.07255381922984,140.8454634570155,-0.594636146891127,2.065338004014448,8.3
2018,1,5.672707314231606,1.8630787911584636,4.510011655876488,19.097358751117266,6,13,86.74096912444432,4.219507705176107,0,2.135546159731248,1.5607002076124372,2.691711989691409,60.45036364568508,1,174.20830799870546,0.0,10.85097067187495,-18.335490767582577,30.383620945472885,1.0,4.0,-0.144172356662951,0.0,0.0,0.7082881614055558,0.6970359789038554,1,0,0,60.61090215047201,-0.5471926408563386,7.83586765170375,61.61212218090074,104.50779190218083,-0.5591782885084033,3.2043721197501687,8.0
2018,1,5.483813736237464,0.9594998235443575,6.707740210626821,15.516544918163289,7,8,190.1105738578296,4.859812404361672,1,1.9947003132247454,1.613730854815519,2.594201544784724,158.47002250412072,1,216.74474498936112,3.0,13.136882148735538,8.482077134127854,31.408215335384327,0.0,5.0,-3.856397314315823,0.0,0.0,0.7105355585664476,0.6970359789038554,1,0,0,89.27957820892334,-0.5442536350814786,9.255378881007715,80.71408669262678,77.96137497388217,-0.6545455073791188,4.188530935301448,7.1000000000000005
2018,1,5.453176944325612,0.6457379664319766,7.439128149569346,13.432450406019095,3,6,95.71314139897464,3.9512437185814275,1,1.2159013751912096,0.7023966200803955,2.5186761977387095,75.76731699651876,0,232.29407680437168,3.0,8.515517175000491,4.199035041109978,20.479541733004318,0.0,1.0,-8.231255552414714,0.0,0.0,0.7117295432912661,0.6970359789038554,1,0,0,-126.76522445678712,-0.5480901633170956,11.805816625184287,54.32708799096269,105.87255378725845,-0.5955070221772422,2.566776078930849,6.1000000000000005
