season,week,coach,team,coach_pass_oe,coach_td_prob,coach_punt_attempt,coach_first_down,coach_penalty_yards,coach_3d_pct
2018,1,Adam Gase,MIA,91.62484741210938,0.3118060827255249,4.0,18.0,61.0,0.20000000298023224
2018,1,Andy Reid,KC,126.4694595336914,0.3058471232652664,4.5,18.5,41.0,0.30000000447034836
2018,1,Anthony Lynn,LAC,130.82002766927084,0.3145602544148763,4.0,23.0,52.0,0.2909090965986252
2018,1,Bill Belichick,NE,89.27957820892334,0.31686291098594666,4.5,23.0,46.25,0.2896103970706463
2018,1,Bill O'Brien,HOU,-33.65784378051758,0.32262447476387024,4.8,22.6,47.2,0.2680519551038742
2018,1,Dan Quinn,ATL,42.13108253479004,0.3200234721104304,5.0,21.5,59.0,0.25512266159057617
2018,1,Dirk Koetter,TB,140.52234331766763,0.32526526351769763,4.5,22.666666666666668,64.16666666666667,0.3243534341454506
2018,1,Doug Marrone,JAX,133.47041384379068,0.32758084932963055,4.833333333333333,22.333333333333332,68.33333333333333,0.30896881967782974
2018,1,Doug Pederson,PHI,91.41999371846516,0.32490378618240356,5.333333333333333,20.0,75.66666666666667,0.3128969892859459
2018,1,Frank Reich,IND,166.8383903503418,0.3283293545246124,4.666666666666667,20.0,84.83333333333333,0.3731210802992185
2018,1,Hue Jackson,CLE,173.9745953877767,0.3204357276360194,5.666666666666667,20.166666666666668,98.16666666666667,0.38911434759696323
2018,1,Jason Garrett,DAL,89.72963333129883,0.31710076828797656,5.666666666666667,20.333333333333332,91.0,0.3876713464657466
2018,1,Jay Gruden,WAS,-52.4775021870931,0.3175262411435445,6.166666666666667,21.0,93.5,0.3620303173859914
2018,1,John Harbaugh,BAL,-63.50570297241211,0.32521899541219074,5.833333333333333,22.5,98.83333333333333,0.38217683633168537
2018,1,Jon Gruden,LV,-40.16122023264567,0.31961889564991,5.5,22.833333333333332,100.0,0.4085516979297002
2018,1,Kyle Shanahan,SF,-111.92257197697957,0.3262905577818553,5.833333333333333,22.333333333333332,94.83333333333333,0.36481112241744995
2018,1,Marvin Lewis,CIN,-18.338862260182697,0.33677556614081067,4.166666666666667,21.833333333333332,89.83333333333333,0.40184815724690753
2018,1,Matt Nagy,CHI,77.45105218887329,0.33877943952878314,3.8333333333333335,21.833333333333332,86.83333333333333,0.44017257789770764
2018,1,Matt Patricia,DET,217.23119592666626,0.3392273386319478,3.6666666666666665,20.333333333333332,75.5,0.40171103924512863
2018,1,Mike McCarthy,GB,224.09540541966757,0.32841367026170093,3.5,18.666666666666668,70.83333333333333,0.39438503235578537
2018,1,Mike Tomlin,PIT,197.3413259188334,0.3280918151140213,4.0,19.5,62.0,0.3964052324493726
2018,1,Mike Vrabel,TEN,60.61090215047201,0.31152525544166565,4.0,19.333333333333332,59.5,0.40373123933871585
2018,1,Mike Zimmer,MIN,65.26753616333008,0.30607603987058,4.666666666666667,19.333333333333332,46.0,0.38902535786231357
2018,1,Pat Shurmur,NYG,-59.038509368896484,0.3057389209667842,4.833333333333333,19.0,55.833333333333336,0.3716799591978391
2018,1,Pete Carroll,SEA,-126.76522445678711,0.2911185473203659,5.333333333333333,17.833333333333332,60.166666666666664,0.36099619915088016
2018,1,Ron Rivera,CAR,-191.92534891764322,0.2993069688479106,5.666666666666667,18.5,66.83333333333333,0.352449191113313
2018,1,Sean McDermott,BUF,-224.17251332600912,0.29859556754430133,5.833333333333333,16.0,71.5,0.2968936363855998
2018,1,Sean McVay,LA,-42.53271230061849,0.3079927663008372,5.5,16.666666666666668,81.83333333333333,0.2860711266597112
2018,1,Sean Payton,NO,12.668772379557291,0.32053250074386597,5.0,17.833333333333332,87.66666666666667,0.2915177494287491
2018,1,Steve Wilks,ARI,32.15076192220052,0.33212583263715106,5.0,17.666666666666668,72.16666666666667,0.26106902956962585
2018,1,Todd Bowles,NYJ,-83.18197631835938,0.3488229215145111,4.5,18.5,65.5,0.30471982310215634
2018,1,Vance Joseph,DEN,-25.5812193552653,0.3481893340746562,4.5,19.166666666666668,57.166666666666664,0.30471982310215634
2018,2,Adam Gase,MIA,3.6009044647216797,0.35659274458885193,4.166666666666667,20.5,46.333333333333336,0.35942067702611286
2018,2,Andy Reid,KC,133.42251904805502,0.34873734414577484,4.166666666666667,20.5,43.0,0.36548128227392834
2018,2,Anthony Lynn,LAC,89.90022087097168,0.33933305740356445,4.5,19.666666666666668,38.833333333333336,0.3469627648591995
2018,2,Bill Belichick,NE,61.509250005086265,0.331342875957489,4.333333333333333,20.166666666666668,43.5,0.3816849887371063
2018,2,Bill O'Brien,HOU,95.91300773620605,0.3221424072980881,4.5,20.666666666666668,53.833333333333336,0.38601399461428326
2018,2,Dan Quinn,ATL,43.23389689127604,0.32887780169645947,4.166666666666667,20.5,50.333333333333336,0.42136753102143604
2018,2,Dirk Koetter,TB,160.1111297607422,0.325479914744695,4.166666666666667,20.5,50.333333333333336,0.41111112137635547
2018,2,Doug Marrone,JAX,186.09326680501303,0.33408474922180176,4.333333333333333,21.166666666666668,44.5,0.46349207560221356
2018,2,Doug Pederson,PHI,143.86585108439127,0.33048587540785473,4.333333333333333,21.666666666666668,50.166666666666664,0.46349207560221356
2018,2,Frank Reich,IND,255.72778956095377,0.33056659003098804,4.5,21.5,51.5,0.5016865183909734
2018,2,Hue Jackson,CLE,290.368839263916,0.3350115517775218,4.333333333333333,20.666666666666668,42.5,0.4814844975868861
2018,2,Jason Garrett,DAL,301.4699287414551,0.3288427988688151,4.333333333333333,19.5,44.5,0.44057540595531464
