season,week,team,fpts_gained,fpts_lost
2020,8,PHI,1.7663333479315109,0.0
2020,8,SF,1.7663333479315109,0.0
2020,8,TB,0.0,0.0
2020,9,ARI,0.0,0.0
2020,9,CAR,0.0,0.0
2020,9,GB,0.0,0.0
2020,9,JAX,2.4499999781449704,9.799999912579855
2020,9,NYJ,3.336666645606366,6.673333291212719
2020,9,SEA,3.336666645606366,6.673333291212719
2020,9,SF,5.786666623751329,7.715555498335097
2020,9,TB,4.22333331306776,5.631111084090339
2020,10,HOU,3.336666645606365,6.6733332912127175
2020,10,JAX,3.336666645606365,4.448888860808478
2020,10,NE,0.8866666674614019,1.1822222232818609
2020,10,NO,0.0,0.0
2020,10,NYG,0.0,0.0
2020,10,SF,0.0,0.0
2020,10,TEN,0.0,0.0
2020,11,CAR,0.0,0.0
2020,11,HOU,0.0,0.0
2020,11,MIA,0.0,0.0
2020,11,NE,0.0,0.0
2020,11,NYJ,0.0,0.0
2020,11,TB,0.0,0.0
2020,12,ARI,0.0,0.0
2020,12,GB,0.0,0.0
2020,12,HOU,0.0,0.0
2020,12,IND,0.0,0.0
2020,12,JAX,0.0,0.0
2020,12,NYG,0.0,0.0
2020,12,SF,0.0,0.0
2020,12,TB,0.0,0.0
2020,13,DET,0.0,0.0
2020,13,IND,0.0,0.0
2020,13,JAX,0.0,0.0
2020,13,LAC,0.0,0.0
2020,13,NE,0.0,0.0
2020,13,NYJ,0.8633333325386114,0.0
2020,13,SF,0.8633333325386114,0.0
2020,14,CHI,0.8633333325386114,0.0
2020,14,CLE,0.8633333325386114,0.0
2020,14,JAX,0.0,0.0
2020,14,NYJ,0.0,0.0
2020,14,SF,0.0,0.0
2020,14,TB,0.0,0.0
2020,15,BAL,0.0,0.0
2020,15,BUF,3.1433333834012416,0.0
2020,15,JAX,3.1433333834012416,0.0
2020,15,KC,3.1433333834012416,0.0
2020,15,MIA,3.1433333834012416,0.0
2020,15,MIN,0.0,0.0
2020,15,NYJ,0.0,0.0
2020,15,SF,0.0,0.0
2020,15,TB,0.0,0.0
2020,16,BAL,0.0,0.0
2020,16,DEN,0.0,0.0
2020,16,DET,0.0,0.0
2020,16,JAX,0.0,0.0
2020,16,MIA,0.0,0.0
2020,16,MIN,0.0,0.0
2020,16,NE,0.0,0.0
2020,16,NYJ,0.0,0.0
2020,16,SF,0.0,0.0
2020,16,TB,0.0,0.0
2020,17,ARI,7.284999957184004,5.306000037988028
2020,17,ATL,14.516666623453307,13.903000081578892
2020,17,BAL,15.910333285108216,13.903000081578892
2020,17,BUF,19.929666622107234,20.184666776657107
2020,17,CAR,22.378333286320178,21.660666717464725
2020,17,CHI,21.889999937141944,20.51866665047904
2020,17,CIN,27.35199996940792,20.51866665047904
2020,17,CLE,23.332666632408902,14.236999955400824
2020,17,DAL,16.095666692033415,9.25333331550161
2020,17,DEN,12.775666682546344,6.81866668065389
2020,17,DET,22.49800006523729,9.095333361625672
2020,17,GB,27.151000076284017,9.095333361625672
2020,17,HOU,31.641666772464916,13.804000003015002
2020,17,IND,29.27966680452228,10.641999992604058
2020,17,JAX,19.94966672783097,24.359666740397614
2020,17,KC,18.060000020513932,26.492333412046236
2020,17,LA,16.06599993531903,25.861666791141037
2020,17,LAC,18.617999945084257,26.126666796704136
2020,17,LV,15.73666657408079,19.377333363642297
2020,17,MIA,14.199999937911834,22.324666674559317
2020,17,MIN,9.626666648685937,19.519999954228602
2020,17,NE,9.754999968409543,27.999999957904222
2020,17,NO,11.204666704932851,19.586666619280972
2020,17,NYG,12.289333375791713,18.49466661239664
2020,17,NYJ,18.18133333772421,21.157333299765988
2020,17,PHI,17.66766668011745,11.312333290899794
2020,17,PIT,15.470666661361857,14.116333302234612
2020,17,SEA,16.292666674156987,11.676666643594704
2020,17,SF,16.464666760464514,12.978666665156682
