season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,receiving_drop_pct,receiving_rat,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,ffpts,temp_week,ffpts_target
2018,1,5.782519772775768,2.0252798376757624,1.9140984578658773,4.365276519319994,3,5,140.06254918317086,3.4339872044851463,0,2.3210796756302097,2.185559393414633,2.4290811053977044,0.0,71.65070177680626,0.9327379053088815,34.36983699110609,1.0,6.416700113115239,-4.171803849932171,19.080490328143895,0.0,4.0,-1.4791168319920853,0.0,,2.005373054773884,,
2018,1,5.731948072617654,2.2134737031039005,3.840177622030582,10.129634578912599,3,5,140.06254918317086,3.4657359027997265,0,2.04941179522814,1.5127315036393651,2.586381633658956,0.0,72.43316527727386,0.938083151964686,41.95724132144601,2.0,5.6156762248115175,2.727277637142306,16.29885632244643,1.0,5.0,3.439331812296642,0.0,,2.0357383237425566,1.0,4.322233311681047
2018,1,5.639764223263859,1.0171218469006404,8.487899434979072,13.530515335918743,1,5,46.282948693269105,2.936421959308732,0,1.2003277677068414,-0.08967869222257363,2.543917495841537,0.0,39.03450742243303,0.7810249675906654,51.09400466435027,1.0,7.893652856217279,-6.481580885858172,20.590768887205577,2.0,7.0,-5.32405777890672,0.0,,1.290180411303276,,
2018,1,5.352763148888741,2.2974245457076825,1.6605013778587696,2.6000571991090347,5,5,265.06421328590113,3.4339872044851463,0,2.026040764952721,1.872806943992274,2.410081772905047,0.0,85.92423720144765,0.9273618495495703,33.75983232533043,0.0,4.304128302894259,-4.878016839598403,19.22288657273349,1.0,7.0,2.453655679394429,0.0,,2.2910334212969996,1.0,2.27368301926171
2018,1,5.29417689758814,1.5194144785463137,3.8725977813701644,12.209000049482885,7,8,224.30232657850217,4.3694478524670215,0,2.033397603178429,1.7274561166481464,2.490812751730639,0.0,102.72416809684765,0.8185352771872451,33.636962411613354,0.0,5.195131571265282,-8.641780693317285,15.699431781012825,1.0,4.0,0.20325398659529684,0.0,,3.479354323892905,,
2018,1,5.289448559878885,0.9788232976254012,4.427439882225359,11.586335656663735,4,7,131.80255596588395,4.060443010546419,0,2.0970972581682514,1.164907096631726,2.707668851790096,0.0,40.50605700172975,0.7549834435270749,39.46217664603444,0.0,6.416700113115239,-18.365123963391323,17.513117662005687,1.0,4.0,-0.14419579439660946,0.0,,2.813582235233407,,
2018,1,5.214512353999996,1.9817865493570288,4.570409978793001,9.408608238344668,7,7,265.06421328590113,4.276666119016055,1,1.8662925210906216,1.6550029381748503,2.423793041226471,0.0,142.52225778717604,0.8717797887081347,45.47556389842902,3.0,7.537664777535304,8.472574426397923,17.975323362527156,0.0,5.0,-3.865335954230752,0.0,,3.3629713691380845,1.0,2.936481572707597
2018,1,5.057560655259037,1.4403339477074137,3.612085251608339,15.038069013673654,4,6,159.72338774845747,3.332204510175204,0,1.7804457093277815,1.2853472438184852,2.5155960877507506,0.0,71.65070177680626,0.8774964387392122,43.22065034943868,2.0,6.416700113115239,13.924958148365356,22.054965722410824,1.0,10.0,2.6224317042162415,0.0,,2.0656684812687143,1.0,3.357756489213495
2018,1,5.0490376041880305,1.8862663741787025,4.456812429990787,18.752964532200114,6,13,101.04681255836248,4.219507705176107,0,2.135546159731248,1.324991818518293,2.691711989691409,0.0,59.418720462901035,0.9539392014169457,39.46217664603444,0.0,6.416700113115239,-18.365123963391323,17.513117662005687,1.0,4.0,-0.14419579439660946,0.0,,3.2051140988244775,1.0,3.2712572246646707
2018,1,4.855864908198527,0.9661515068193479,6.6072814309308745,15.260750872628872,7,8,224.30232657850217,4.859812404361672,1,1.9947003132247454,1.3916576656783182,2.594201544784724,0.0,154.9952954003283,1.0,45.47556389842902,3.0,7.537664777535304,8.472574426397923,17.975323362527156,0.0,5.0,-3.865335954230752,0.0,,4.189732161023322,,
2018,1,4.824511724913545,0.6488432531572289,7.321020294382327,13.22503257016591,3,6,111.6198742765602,3.9512437185814275,1,1.2159013751912096,0.01841411037331821,2.5186761977387095,0.0,74.38913641425833,0.6130938044140075,47.56071793008716,3.0,5.195131571265282,4.195793400072657,12.814193822373584,0.0,1.0,-8.25995312708574,0.0,,2.567270552243296,1.0,2.773814370599881
2018,1,4.824511724913545,0.6488432531572289,7.321020294382327,13.22503257016591,3,6,111.6198742765602,3.9512437185814275,1,1.2159013751912096,0.01841411037331821,2.5186761977387095,0.0,74.38913641425833,0.6130938044140075,47.56071793008716,3.0,5.195131571265282,4.195793400072657,12.814193822373584,0.0,1.0,-8.25995312708574,0.0,,2.567270552243296,1.0,2.773814370599881
2018,1,4.824511724913545,0.6488432531572289,7.321020294382327,13.22503257016591,3,6,111.6198742765602,3.9512437185814275,1,1.2159013751912096,0.01841411037331821,2.5186761977387095,0.0,74.38913641425833,0.806225774829855,47.56071793008716,3.0,5.195131571265282,4.195793400072657,12.814193822373584,0.0,1.0,-8.25995312708574,0.0,,2.567270552243296,1.0,2.773814370599881
2018,1,4.824511724913545,0.6488432531572289,7.321020294382327,13.22503257016591,3,6,111.6198742765602,3.9512437185814275,1,1.2159013751912096,0.01841411037331821,2.5186761977387095,0.0,74.38913641425833,0.806225774829855,47.56071793008716,3.0,5.195131571265282,4.195793400072657,12.814193822373584,0.0,1.0,-8.25995312708574,0.0,,2.567270552243296,1.0,2.773814370599881
