season,week,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,passing_drop_pct,passing_bad_throw_pct,times_pressured_pct,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,ffpts,temp_week,ffpts_target
2018,1,0.7915941401765456,3.4021518869408975,3.8240780529862155,-2.241856565066342,9.206608327766661,4.332025839405802,-0.2573419533985125,11.972922188221478,76.15308404634547,1,4,56.33865467626359,12.540049917385279,181.7433790918207,667.7781125561584,-9.41195805494442,2.870861795093487,167.070796758314,0.0511927532810544,0.1011897410556214,0.22344244677690825,0.9433981132056604,46.14705817884766,1.0,7.07127550921024,-20.182153148155887,9.111283724098124,0.0,2.0,-3.5499238492367047,8.02268860473804,-15.153341184718863,2.8903717578961645,0.0,0.0,0.10959511294679802,6.503817349782933,1.0,9.40548369743418
2018,1,0.9079192418185826,4.465981444829684,4.555775556670194,-2.1046443829397616,5.62325426187873,4.660620917831591,-0.6720314829069328,9.788930958354223,78.44443584369292,3,2,112.76847028248814,9.539816089938414,177.0495103818315,624.1605079863946,-7.873598291272266,2.9821572389365496,141.92934963925265,0.04719716411646159,0.17150391719112926,0.27603403220818074,1.0,45.96051165059839,3.0,5.1340442915052105,4.208075553880494,11.786653365359195,0.0,1.0,-8.420428197760552,5.918065951908971,4.176851388682363,2.833213344056216,0.0,0.0,1.009986901299642,8.8136178145389,1.0,7.04732476425566
2018,1,0.813274243758662,3.7749294472443062,4.293993430738504,-2.59260199502258,13.160889237528108,4.535032256776143,0.8820188251816509,10.84084439779818,84.24309724727712,3,3,101.92795594585205,11.81970928855233,204.84480491236823,581.0010794951562,1.2146688544325697,2.90071364569591,116.23896069269621,0.05599662371800019,0.11206385909575195,0.19538080321810614,1.0,48.79623676716986,3.0,7.07127550921024,-3.7396883435526425,17.769591963182105,0.0,8.0,-4.210169972766365,8.02268860473804,-3.7663522832118224,2.4849066497880004,0.0,0.0,,9.118743685354659,1.0,4.323361135902901
2018,1,0.7834643733777193,3.5340326262534387,4.521685549388341,-3.311167080303855,6.855005850705499,4.11970313815994,1.2200920153321286,12.730892092028663,97.7538054368641,3,1,126.84960067568257,14.940126405591691,216.04652248915812,597.6682865472916,2.7287249069571318,2.930081858056054,160.46466455756953,0.06760415961384025,0.13798532416945491,0.18360079652785288,1.0,55.63766969627346,3.0,8.93684304944625,16.87917892523812,16.341731391513438,0.0,7.0,1.6210941057157566,10.025913175492844,16.63437482522591,2.4849066497880004,0.0,0.0,,10.01500831774818,1.0,8.4848834496762
2018,1,0.834243818693836,4.417268985609544,4.29103908647218,-1.641966137907053,9.681585258921132,4.388609897160111,-0.7748352918090288,11.498794591481253,69.30275483066107,0,1,68.12031499637112,10.321956897291466,141.55911211730856,462.9594193303409,-5.881953913878649,2.9613697215713586,171.92378042141004,0.04041965878052908,0.19550369691046507,0.20440394119476119,1.0,41.414619936273404,0.0,4.705791029239524,-11.190032280426182,12.688818396758364,1.0,4.0,-2.7358816260042484,5.4614463733190455,-11.33252915466875,2.995732273553991,0.0,1.0,0.9178096029816737,4.724520879682428,1.0,7.575234617258914
2018,1,0.8683483211095872,4.956625738310049,5.3906831422959325,-3.0615528422645246,4.793965519475725,4.361569113586216,3.442372827198951,8.639106219481834,70.29766117061529,4,0,157.5822722295054,7.892491707339744,168.66358553710324,510.99331341831197,-2.6251482236398735,3.0084682447464144,159.30038115967886,0.033680412077527325,0.16357506396159635,0.2659106331708159,1.0,41.91415476822286,4.0,5.1340442915052105,13.377974548216462,15.186750636501571,0.0,7.0,-1.275355552704639,5.918065951908971,13.2016116654589,3.4965075614664802,0.0,2.0,2.38984499519482,9.379169173453235,1.0,10.724933533370788
2018,1,0.7935812663107975,5.724695345081619,5.033450164221168,0.5696264087164804,7.942589140225687,4.597772578214145,3.6972503170373194,8.838789750352042,97.7538054368641,4,0,179.10409295647116,10.321956897291466,253.49019301071715,587.5153611801859,12.07093034161623,3.0557437665038063,123.86685264990527,0.03081795022011654,0.09563847772945622,0.10429381969039556,1.0,55.63766969627346,4.0,7.7751057740865575,23.914873566774848,15.605522709593878,1.0,5.0,-3.4621141833737865,8.800447099420513,23.34210629852999,3.871201010907891,1.0,3.0,1.2876606510384456,10.497938975255229,1.0,10.724933533370788
2018,1,0.7571904347509552,2.451459835958543,2.5741610036805542,-1.3836291920181154,8.240048713428992,4.252432198106469,-4.963564551137224,11.00829450423784,79.3911875695867,0,3,74.86729714070272,13.243840176943438,242.09469399705876,676.2546575785782,3.6462399646250745,2.803644442291546,93.04378501858008,0.02400238597139455,0.0964362668851423,0.17271355295778273,1.0,,,,,,,,,6.361029647653172,-12.221843500073671,2.5649493574615367,0.0,0.0,-1.5438536467419959,5.450297045548373,1.0,6.5923275644375865
2018,1,0.9207799907587533,4.075445479956696,4.482599314412475,-2.5327946420939145,9.517155589447338,4.082024097205502,1.6560221693469948,9.788930958354223,65.67196764618907,2,0,118.42693927233448,9.139119786262425,164.51054915230614,600.181588277047,-9.310139248510371,2.982858312306458,174.51588835623537,0.04836293073190207,0.1760493909403983,0.10429381969039556,1.0,39.58098125224886,2.0,6.331049767633854,5.653374669981346,17.410084874432272,0.0,8.0,2.5288497261571803,7.211723350080266,5.603951236446592,2.3978952727983707,0.0,0.0,0.0,7.056223040490648,1.0,7.371433021376591
2018,1,0.7175580910898641,3.9872318674441383,4.294621720313529,-2.300185330900682,12.046797562210491,4.853686024107729,0.7789636596264093,8.838789750352042,65.05900787944095,2,2,109.11543675160794,9.933952523368134,237.25290697459445,594.4330393028241,7.869476378416662,2.9402008902266457,156.6094110310326,0.03081795022011654,0.14926923391753769,0.06408339985202417,1.0,39.26972213166648,2.0,4.705791029239524,2.2506428804474354,16.144745718041747,0.0,7.0,-3.7021299978755304,5.4614463733190455,2.2393431984773975,2.772588722239781,0.0,0.0,-1.002315915585522,7.021774252659643,1.0,6.345115167411234
