season,week,team,fpts_gained,fpts_lost
2018,1,HOU,16.746666646003725,
2018,2,CAR,8.373333323001862,0.0
2018,2,HOU,11.308888864517213,8.589999973773956
2018,2,NE,8.48166664838791,8.589999973773956
2018,2,PHI,4.294999986886978,8.589999973773956
2018,2,TB,6.143333329757055,12.28666665951411
2018,2,TEN,1.8483333428700766,7.393333371480306
2018,2,WAS,4.294999986886978,8.589999973773956
2018,3,ARI,4.294999986886978,5.726666649182637
2018,3,BUF,2.4466666440169016,3.2622221920225356
2018,3,CIN,2.4466666440169016,3.2622221920225356
2018,3,CLE,0.0,0.0
2018,3,DAL,0.0,0.0
2018,3,HOU,4.069999998807907,5.426666665077209
2018,3,KC,4.069999998807907,5.426666665077209
2018,3,MIA,4.069999998807907,8.139999997615813
2018,3,MIN,4.6966666622708235,8.139999997615813
2018,3,NE,0.626666663462917,5.005333407223224
2018,3,NYG,0.626666663462917,3.336888938148816
2018,3,PHI,3.129333367074529,3.336888938148816
2018,3,TB,4.229333384583393,5.639111179444524
2018,3,WAS,6.57266670241952,5.426666665077209
2018,4,CLE,6.57266670241952,8.139999997615813
2018,4,DET,4.069999998807907,8.139999997615813
2018,4,HOU,3.9966666678587597,7.993333335717519
2018,4,LAC,1.653333350022634,6.613333400090536
2018,4,TB,3.306666700045268,6.613333400090536
2018,4,TEN,3.306666700045268,4.4088889333936905
2018,5,ARI,1.653333350022634,3.306666700045268
2018,5,DEN,1.653333350022634,3.306666700045268
2018,5,HOU,2.1733333210150403,4.346666642030081
2018,5,IND,2.1733333210150403,8.693333284060161
2018,5,KC,2.1733333210150403,8.693333284060161
2018,5,NO,2.1733333210150403,4.346666642030081
2018,5,NYG,0.0,0.0
2018,5,TEN,0.0,0.0
2018,5,WAS,2.1733333210150403,4.346666642030081
2018,6,ARI,2.1733333210150403,8.693333284060161
2018,6,CIN,2.1733333210150403,4.346666642030081
2018,6,CLE,2.1733333210150403,2.897777761353387
2018,6,DAL,0.0,0.0
2018,6,DEN,0.0,0.0
2018,6,GB,0.0,0.0
2018,6,HOU,1.6783333500226338,1.6783333500226338
2018,6,JAX,1.6783333500226338,2.2377778000301785
2018,6,MIA,1.6783333500226338,3.3566667000452677
2018,6,SF,1.6783333500226338,6.713333400090535
2018,6,TB,1.6783333500226338,6.713333400090535
2018,6,TEN,1.6783333500226338,6.713333400090535
2018,6,WAS,1.6783333500226338,3.3566667000452677
2018,7,ARI,1.6783333500226338,3.3566667000452677
2018,7,HOU,0.0,0.0
2018,7,JAX,0.0,0.0
2018,7,LA,0.7716666605323553,0.0
2018,7,NO,0.7716666605323553,0.0
2018,7,NYG,3.1996666663636764,0.0
2018,7,TB,3.1996666663636764,0.0
2018,7,WAS,2.428000005831321,0.0
2018,8,CLE,2.428000005831321,0.0
2018,8,DEN,0.0,0.0
2018,8,GB,0.0,0.0
2018,8,HOU,2.1133333146572113,2.8177777528762817
2018,8,LA,2.1133333146572113,4.226666629314423
2018,8,NYJ,2.1133333146572113,4.226666629314423
2018,8,PHI,2.1133333146572113,8.453333258628845
2018,8,SF,0.0,
2018,8,TB,0.0,0.0
2018,8,WAS,2.1133333146572113,4.226666629314423
2018,9,BAL,2.1133333146572113,4.226666629314423
2018,9,BUF,3.458333317438761,4.226666629314423
2018,9,DAL,6.9946666320165,8.453333258628845
2018,9,GB,4.881333317359289,0.0
2018,9,HOU,8.349666653076808,3.0800000190734864
2018,9,TB,8.544666659832002,4.106666692097982
2018,9,TEN,5.008333345254262,3.0800000190734864
2018,9,WAS,5.008333345254262,3.0800000190734864
2018,10,ARI,1.5400000095367432,1.5400000095367432
2018,10,BUF,1.3833333308498064,0.0
2018,10,CIN,1.3833333308498064,0.0
2018,10,DET,1.3833333308498064,6.143333292007446
2018,10,JAX,1.3833333308498064,6.143333292007446
2018,10,NE,0.0,6.143333292007446
2018,10,PHI,3.071666646003723,6.143333292007446
2018,10,SEA,3.071666646003723,0.0
2018,10,TB,3.071666646003723,0.0
2018,10,WAS,3.071666646003723,0.0
2018,11,BAL,0.0,0.0
2018,11,CAR,0.0,0.0
2018,11,DEN,0.0,
2018,11,HOU,0.0,0.0
2018,11,MIN,0.9866666615009307,0.0
2018,11,NO,0.9866666615009307,0.0
2018,11,OAK,0.9866666615009307,0.0
2018,11,PHI,0.9866666615009307,0.0
2018,11,TB,0.0,0.0
2018,12,BUF,0.6650000055631001,0.0
2018,12,CIN,0.6650000055631001,0.0
2018,12,GB,0.6650000055631001,0.9266666624281141
2018,12,HOU,2.118333351612091,2.864444457160102
2018,12,IND,1.4533333460489908,4.296666685740153
2018,12,MIA,3.4149999921520555,4.296666685740153
2018,12,OAK,4.109999988973141,5.813333384195963
2018,12,SEA,2.65666664292415,
2018,12,TB,4.109999988973141,5.813333384195963
2018,12,WAS,2.1483333428700764,2.9066666920979816
2018,13,ARI,1.4533333460489908,2.9066666920979816
2018,13,ATL,1.4533333460489908,2.9066666920979816
2018,13,CHI,0.0,0.0
2018,13,CIN,0.0,
2018,13,DEN,0.0,
2018,13,GB,0.0,
2018,13,HOU,3.526666659116745,14.10666663646698
2018,13,IND,3.526666659116745,14.10666663646698
2018,13,LAC,3.526666659116745,14.10666663646698
2018,13,NYG,3.526666659116745,14.10666663646698
2018,13,NYJ,0.0,0.0
2018,13,OAK,0.0,0.0
2018,13,TB,1.3566666801770528,2.7133333603541057
2018,13,WAS,3.526666659116745,4.70222221215566
2018,14,ARI,3.5266666591167453,7.05333331823349
2018,14,BUF,3.5266666591167453,4.70222221215566
